iter	Passed	Remaining
0	1	138
1	2	123
2	3	120
3	4	112
4	5	112
5	7	111
6	8	109
7	9	110
8	10	108
9	11	106
10	12	104
11	14	103
12	15	101
13	16	99
14	17	97
15	18	96
16	19	94
17	20	93
18	21	92
19	22	90
20	23	90
21	24	88
22	26	87
23	27	86
24	28	84
25	29	83
26	30	82
27	31	81
28	32	79
29	33	78
30	34	77
31	35	76
32	37	75
33	38	74
34	39	72
35	40	71
36	41	70
37	42	69
38	43	68
39	44	67
40	45	66
41	46	63
42	47	62
43	48	61
44	49	60
45	50	58
46	51	57
47	52	56
48	53	55
49	54	54
50	55	53
51	56	52
52	57	50
53	58	49
54	59	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	42
60	65	41
61	66	40
62	67	39
63	68	38
64	70	37
65	71	36
66	72	35
67	73	34
68	74	33
69	76	32
70	77	31
71	78	30
72	79	29
73	80	28
74	81	27
75	83	26
76	84	25
77	85	24
78	86	23
79	88	22
80	89	20
81	90	19
82	91	18
83	93	17
84	94	16
85	95	15
86	96	14
87	97	13
88	98	12
89	100	11
90	101	10
91	102	8
92	103	7
93	104	6
94	105	5
95	106	4
96	107	3
97	108	2
98	110	1
99	111	0
