iter	Passed	Remaining
0	125	125811
1	126	63323
2	127	42509
3	128	32088
4	129	25837
5	130	21702
6	131	18722
7	132	16482
8	133	14740
9	134	13343
10	135	12204
11	136	11266
12	137	10473
13	139	9833
14	140	9231
15	141	8700
16	142	8239
17	143	7829
18	144	7481
19	146	7157
20	147	6859
21	148	6592
22	149	6352
23	150	6128
24	152	5940
25	153	5750
26	154	5574
27	155	5411
28	157	5261
29	158	5125
30	159	4994
31	160	4869
32	162	4751
33	163	4638
34	164	4533
35	165	4432
36	166	4342
37	168	4256
38	169	4173
39	170	4092
40	171	4017
41	173	3948
42	174	3884
43	175	3822
44	177	3762
45	178	3703
46	179	3647
47	181	3596
48	182	3545
49	183	3493
50	185	3447
51	186	3400
52	187	3357
53	189	3315
54	190	3274
55	191	3235
56	193	3196
57	194	3157
58	195	3120
59	196	3085
60	198	3049
61	199	3015
62	200	2982
63	201	2952
64	203	2922
65	204	2893
66	205	2865
67	206	2835
68	208	2808
69	209	2784
70	210	2758
71	212	2733
72	213	2709
73	214	2684
74	215	2660
75	217	2641
76	218	2620
77	219	2599
78	221	2579
79	222	2559
80	223	2539
81	225	2521
82	225	2496
83	227	2477
84	228	2460
85	229	2443
86	231	2426
87	232	2409
88	233	2393
89	235	2376
90	236	2361
91	237	2346
92	239	2331
93	240	2315
94	241	2300
95	242	2286
96	244	2273
97	245	2259
98	246	2246
99	248	2232
100	249	2219
101	250	2206
102	251	2193
103	253	2181
104	254	2169
105	255	2157
106	257	2147
107	258	2135
108	259	2124
109	261	2113
110	262	2101
111	263	2090
112	265	2080
113	266	2070
114	267	2060
115	269	2050
116	270	2038
117	271	2029
118	272	2019
119	274	2010
120	275	1999
121	276	1988
122	277	1978
123	278	1969
124	279	1959
125	281	1950
126	282	1939
127	283	1931
128	284	1922
129	286	1914
130	287	1904
131	288	1896
132	289	1888
133	291	1880
134	292	1872
135	293	1864
136	294	1856
137	295	1848
138	297	1840
139	298	1834
140	299	1826
141	300	1816
142	301	1809
143	303	1802
144	304	1795
145	305	1789
146	307	1782
147	308	1775
148	309	1768
149	310	1761
150	312	1754
151	313	1749
152	315	1744
153	316	1738
154	317	1732
155	319	1726
156	320	1720
157	321	1714
158	323	1708
159	324	1703
160	325	1694
161	326	1688
162	327	1681
163	328	1675
164	330	1670
165	331	1664
166	332	1658
167	333	1653
168	335	1648
169	336	1643
170	338	1638
171	339	1633
172	340	1628
173	342	1623
174	343	1618
175	344	1613
176	345	1607
177	346	1601
178	348	1596
179	349	1591
180	350	1586
181	351	1582
182	353	1577
183	354	1572
184	355	1568
185	357	1563
186	358	1559
187	360	1554
188	361	1550
189	362	1546
190	363	1541
191	365	1537
192	366	1533
193	367	1528
194	369	1523
195	370	1518
196	371	1513
197	372	1509
198	373	1504
199	375	1500
200	376	1495
201	377	1491
202	378	1486
203	380	1483
204	381	1479
205	382	1474
206	383	1470
207	385	1466
208	386	1461
209	387	1458
210	389	1455
211	390	1451
212	391	1448
213	393	1444
214	394	1440
215	396	1437
216	397	1433
217	398	1429
218	399	1425
219	401	1421
220	402	1418
221	403	1414
222	405	1411
223	406	1407
224	407	1403
225	408	1400
226	410	1397
227	411	1393
228	412	1389
229	413	1385
230	415	1382
231	416	1378
232	417	1375
233	418	1371
234	420	1367
235	421	1363
236	422	1359
237	423	1356
238	424	1352
239	425	1348
240	427	1345
241	428	1341
242	429	1338
243	430	1334
244	432	1331
245	433	1328
246	434	1325
247	435	1321
248	437	1318
249	438	1314
250	439	1311
251	440	1307
252	441	1304
253	443	1301
254	444	1298
255	445	1295
256	446	1292
257	448	1288
258	449	1286
259	450	1283
260	452	1279
261	453	1276
262	454	1273
263	455	1271
264	456	1267
265	458	1264
266	459	1261
267	460	1258
268	461	1254
269	463	1252
270	464	1249
271	465	1245
272	466	1242
273	467	1239
274	468	1236
275	470	1233
276	471	1230
277	472	1227
278	473	1224
279	474	1220
280	476	1218
281	477	1215
282	478	1212
283	479	1209
284	480	1206
285	482	1204
286	483	1201
287	484	1198
288	486	1195
289	487	1192
290	488	1189
291	489	1187
292	490	1183
293	491	1180
294	492	1177
295	494	1174
296	495	1171
297	496	1168
298	497	1165
299	498	1163
300	499	1160
301	500	1157
302	502	1154
303	503	1152
304	504	1149
305	505	1145
306	506	1143
307	507	1140
308	508	1137
309	509	1134
310	510	1131
311	511	1128
312	512	1125
313	514	1123
314	515	1120
315	516	1118
316	517	1115
317	518	1112
318	519	1109
319	521	1107
320	522	1104
321	523	1101
322	524	1098
323	525	1096
324	526	1094
325	528	1092
326	529	1090
327	530	1087
328	531	1084
329	532	1081
330	533	1078
